date,fixture_id,match,league,kickoff,market_key,market,scope,probability_pct,reliability_pct,context_sample_n,context_hits,context_raw_hit_rate_pct,validation_band,validation_sample_n,validation_predicted_pct,validation_actual_pct,validation_gap_pp,all_results_sample_n,all_results_hits,all_results_actual_pct,platform_shown,exact_odd,bookmaker,quote_status,quote_field,quote_line_candidates,recommended_80,omission_reason
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_over0_5,Total partido — Goles — Más de 0.5,team,100,7.6923,1,1,100,elite95,168,97.6172,95.2381,2.3791,55392,51056,92.1722,false,,,line_not_offered,overUnder,Over_0_5|Over_0,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_under0_5,Total partido — Goles — Menos de 0.5,team,0,7.6923,1,0,0,high,0,,,,55392,4336,7.8278,false,,,line_not_offered,overUnder,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_over1_5,Total partido — Goles — Más de 1.5,team,100,7.6923,1,1,100,elite95,11,99.6933,81.8182,17.8752,55392,40824,73.7002,false,,,line_not_offered,overUnder,Over_1_5|Over_1,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_under1_5,Total partido — Goles — Menos de 1.5,team,0,7.6923,1,0,0,high,0,,,,55392,14568,26.2998,false,,,line_not_offered,overUnder,Under_1_5|Under_2,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,home_goals_over0_5,Illescas — Goles a favor — Más de 0.5,team,100,7.6923,1,1,100,elite95,10,99.9999,70,29.9999,55392,41812,75.4838,false,,,line_not_offered,homeGoals,Over_0_5|Over_0,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,home_goals_under0_5,Illescas — Goles a favor — Menos de 0.5,team,0,7.6923,1,0,0,high,2,99.9999,0,99.9999,55392,13580,24.5162,false,,,line_not_offered,homeGoals,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,away_goals_over0_5,SS Reyes II — Goles a favor — Más de 0.5,team,100,7.6923,1,1,100,elite95,10,99.9999,60,39.9999,55392,37017,66.8273,false,,,line_not_offered,awayGoals,Over_0_5|Over_0,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,away_goals_under0_5,SS Reyes II — Goles a favor — Menos de 0.5,team,0,7.6923,1,0,0,high,3,94.0369,66.6667,27.3702,55392,18375,33.1727,false,,,line_not_offered,awayGoals,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,btts,Ambos equipos marcan,team,100,7.6923,1,1,100,elite95,6,99.9999,33.3333,66.6666,55392,27773,50.139,false,,,line_not_offered,btts,yes,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,btts_no,Ambos equipos NO marcan,team,0,7.6923,1,0,0,high,10,90.2362,80,10.2362,55392,27619,49.861,false,,,line_not_offered,btts,no,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,clean_sheet_home,Portería a cero — Illescas,team,0,7.6923,1,,,high,3,94.0369,66.6667,27.3702,55392,18375,33.1727,false,,,line_not_offered,cleanSheetHome,yes,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,clean_sheet_away,Portería a cero — SS Reyes II,team,0,7.6923,1,,,high,2,99.9999,0,99.9999,55392,13580,24.5162,false,,,line_not_offered,cleanSheetAway,yes,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,home_win,Ganador — Illescas,team,0,7.6923,1,,,high,4,99.9999,50,49.9999,55392,24534,44.2916,false,,,line_not_offered,matchWinner,home,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,draw,Empate,team,100,7.6923,1,,,elite95,1,99.9999,0,99.9999,55392,14001,25.2762,false,,,line_not_offered,matchWinner,draw,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,away_win,Ganador — SS Reyes II,team,0,7.6923,1,,,high,3,93.8006,0,93.8006,55392,16857,30.4322,false,,,line_not_offered,matchWinner,away,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_1h_over0_5,Total partido · 1ª Parte — Goles — Más de 0.5,team,100,7.6923,1,1,100,elite95,10,99.9999,80,19.9999,54005,37647,69.7102,false,,,line_not_offered,goals1H,Over_0_5|Over_0,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_1h_under0_5,Total partido · 1ª Parte — Goles — Menos de 0.5,team,0,7.6923,1,0,0,high,6,94.0656,66.6667,27.3989,54005,16358,30.2898,false,,,line_not_offered,goals1H,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_1h_over1_5,Total partido · 1ª Parte — Goles — Más de 1.5,team,100,7.6923,1,1,100,elite95,2,99.9999,50,49.9999,54005,18446,34.1561,false,,,line_not_offered,goals1H,Over_1_5|Over_1,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,total_goals_1h_under1_5,Total partido · 1ª Parte — Goles — Menos de 1.5,team,0,7.6923,1,0,0,high,25,85.2545,72,13.2545,54005,35559,65.8439,false,,,line_not_offered,goals1H,Under_1_5|Under_2,false,probabilidad < 70%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,home_goals_1h_over0_5,Illescas · 1ª Parte — Goles a favor — Más de 0.5,team,100,7.6923,1,1,100,elite95,6,99.9999,50,49.9999,54005,26073,48.2789,false,,,line_not_offered,homeGoals1H,Over_0_5|Over_0,true,fiabilidad < 90%
2026-08-18,1629009,Illescas vs SS Reyes II,Friendlies Clubs,2026-08-18T03:00:00-05:00,home_goals_1h_under0_5,Illescas · 1ª Parte — Goles a favor — Menos de 0.5,team,0,7.6923,1,0,0,high,14,94.3799,64.2857,30.0942,54005,27932,51.7211,false,,,line_not_offered,homeGoals1H,Under_0_5|Under_1,false,probabilidad < 70%
