date,fixture_id,match,league,kickoff,market_key,market,scope,probability_pct,reliability_pct,context_sample_n,context_hits,context_raw_hit_rate_pct,validation_band,validation_sample_n,validation_predicted_pct,validation_actual_pct,validation_gap_pp,all_results_sample_n,all_results_hits,all_results_actual_pct,platform_shown,exact_odd,bookmaker,quote_status,quote_field,quote_line_candidates,recommended_80,omission_reason
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_over0_5,Total partido — Goles — Más de 0.5,team,91.041,94.5946,210,190,90.4762,daily90,252,95.9461,94.0476,1.8985,55392,51056,92.1722,false,1.05,Bet365,below_minimum,overUnder,Over_0_5|Over_0,true,cuota real < 1.20
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_under0_5,Total partido — Goles — Menos de 0.5,team,8.959,94.5946,210,20,9.5238,high,0,,,,55392,4336,7.8278,false,11,Bet365,offered,overUnder,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_over1_5,Total partido — Goles — Más de 1.5,team,70.1695,94.5946,210,158,75.2381,high,119,86.9207,83.1933,3.7275,55392,40824,73.7002,true,1.26,Bet365,offered,overUnder,Over_1_5|Over_1,false,
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_under1_5,Total partido — Goles — Menos de 1.5,team,29.8305,94.5946,210,52,24.7619,high,0,,,,55392,14568,26.2998,false,3.75,Bet365,offered,overUnder,Under_1_5|Under_2,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_over2_5,Total partido — Goles — Más de 2.5,team,38.2964,94.5946,210,104,49.5238,high,9,90.6936,66.6667,24.0269,55392,27847,50.2726,false,1.85,Bet365,offered,overUnder,Over_2_5|Over_2,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_under2_5,Total partido — Goles — Menos de 2.5,team,61.7036,94.5946,210,106,50.4762,high,9,85.0111,55.5556,29.4556,55392,27545,49.7274,false,2.02,Bet365,offered,overUnder,Under_2_5|Under_3,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_over3_5,Total partido — Goles — Más de 3.5,team,17.4475,94.5946,210,56,26.6667,high,2,99.9999,50,49.9999,55392,15978,28.8453,false,3,Bet365,offered,overUnder,Over_3_5|Over_3,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_under3_5,Total partido — Goles — Menos de 3.5,team,82.5525,94.5946,210,154,73.3333,high,67,85.4297,76.1194,9.3103,55392,39414,71.1547,true,1.38,Bet365,offered,overUnder,Under_3_5|Under_4,true,
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_over4_5,Total partido — Goles — Más de 4.5,team,7.4556,94.5946,210,23,10.9524,high,0,,,,55392,8012,14.4642,false,6,Bet365,offered,overUnder,Over_4_5|Over_4,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,total_goals_under4_5,Total partido — Goles — Menos de 4.5,team,92.5444,94.5946,210,187,89.0476,daily90,89,93.7356,91.0112,2.7244,55392,47380,85.5358,false,1.14,Bet365,below_minimum,overUnder,Under_4_5|Under_5,true,cuota real < 1.20
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,home_goals_over0_5,Sao Paulo — Goles a favor — Más de 0.5,team,73.3067,94.5946,210,145,69.0476,high,107,86.5483,85.0467,1.5016,55392,41812,75.4838,false,1.11,Bet365,below_minimum,homeGoals,Over_0_5|Over_0,false,cuota real < 1.20
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,home_goals_under0_5,Sao Paulo — Goles a favor — Menos de 0.5,team,26.6933,94.5946,210,65,30.9524,high,2,99.9999,0,99.9999,55392,13580,24.5162,false,6.5,Bet365,offered,homeGoals,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,home_goals_over1_5,Sao Paulo — Goles a favor — Más de 1.5,team,26.7783,94.5946,210,77,36.6667,high,4,99.9999,75,24.9999,55392,23671,42.7336,false,1.53,Bet365,offered,homeGoals,Over_1_5|Over_1,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,home_goals_under1_5,Sao Paulo — Goles a favor — Menos de 1.5,team,73.2217,94.5946,210,133,63.3333,high,23,86.1847,56.5217,29.663,55392,31721,57.2664,true,2.38,Bet365,offered,homeGoals,Under_1_5|Under_2,false,
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,home_goals_over2_5,Sao Paulo — Goles a favor — Más de 2.5,team,3.977,94.5946,210,17,8.0952,high,1,99.9999,0,99.9999,55392,10769,19.4414,false,2.62,Bet365,offered,homeGoals,Over_2_5|Over_2,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,home_goals_under2_5,Sao Paulo — Goles a favor — Menos de 2.5,team,96.023,94.5946,210,193,91.9048,elite95,15,95.8963,93.3333,2.563,55392,44623,80.5586,true,1.44,Bet365,offered,homeGoals,Under_2_5|Under_3,true,
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,away_goals_over0_5,Bolívar — Goles a favor — Más de 0.5,team,67.4124,94.5946,210,150,71.4286,high,94,86.9847,74.4681,12.5166,55392,37017,66.8273,false,1.83,Bet365,offered,awayGoals,Over_0_5|Over_0,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,away_goals_under0_5,Bolívar — Goles a favor — Menos de 0.5,team,32.5876,94.5946,210,60,28.5714,high,3,94.0369,66.6667,27.3702,55392,18375,33.1727,false,1.83,Bet365,offered,awayGoals,Under_0_5|Under_1,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,away_goals_over1_5,Bolívar — Goles a favor — Más de 1.5,team,35.6786,94.5946,210,85,40.4762,high,0,,,,55392,18091,32.66,false,5.5,Bet365,offered,awayGoals,Over_1_5|Over_1,false,probabilidad < 70%
2026-08-18,1607653,Sao Paulo vs Bolívar,CONMEBOL Sudamericana,2026-08-18T19:30:00-05:00,away_goals_under1_5,Bolívar — Goles a favor — Menos de 1.5,team,64.3214,94.5946,210,125,59.5238,high,16,84.4829,81.25,3.2329,55392,37301,67.34,false,1.14,Bet365,below_minimum,awayGoals,Under_1_5|Under_2,false,probabilidad < 70%
